op_name	rs1_hex	rs2_hex	imm_hex	expected_rd_hex
add_64_basic	0000000000000005	0000000000000003	0000000000000003	0000000000000008
add_64_overflow	ffffffffffffffff	0000000000000001	0000000000000001	0000000000000000
add_imm_64	00000000deadbeef	0000000000001000	0000000000001000	00000000deadceef
sub_64_basic	000000000000000a	0000000000000003	0000000000000003	0000000000000007
sub_64_underflow	0000000000000000	0000000000000001	0000000000000001	ffffffffffffffff
mul_64_basic	0000000000000007	0000000000000006	0000000000000006	000000000000002a
mul_64_overflow	8000000000000000	0000000000000002	0000000000000002	0000000000000000
mul_imm_64	0000000000000064	0000000000000007	0000000000000007	00000000000002bc
add_32_basic	000000007fffffff	0000000000000001	0000000000000001	ffffffff80000000
add_32_signext	00000000ffffffff	0000000000000001	0000000000000001	0000000000000000
sub_32_basic	0000000080000000	0000000000000001	0000000000000001	000000007fffffff
mul_32_basic	0000000000007fff	0000000000007fff	0000000000007fff	000000003fff0001
add_imm_32	00000000ffffffff	0000000000000001	0000000000000001	0000000000000000
mul_imm_32	0000000000001000	0000000000000003	0000000000000003	0000000000003000
negate_add_imm_64a	0000000000000005	000000000000000a	000000000000000a	0000000000000005
negate_add_imm_64b	ffffffffffffffff	0000000000000000	0000000000000000	0000000000000001
negate_add_imm_32a	0000000000000003	000000000000000a	000000000000000a	0000000000000007
negate_add_imm_32b	0000000000000001	0000000000000000	0000000000000000	ffffffffffffffff
and_basic	000000000000ff00	0000000000000ff0	0000000000000ff0	0000000000000f00
or_basic	000000000000ff00	0000000000000ff0	0000000000000ff0	000000000000fff0
xor_basic	000000000000ff00	0000000000000ff0	0000000000000ff0	000000000000f0f0
and_imm	00000000deadbeef	000000000000ffff	000000000000ffff	000000000000beef
or_imm	00000000dead0000	000000000000beef	000000000000beef	00000000deadbeef
xor_imm	00000000aaaaaaaa	0000000055555555	0000000055555555	00000000ffffffff
and_inverted	00000000ff00ff00	00000000f0f0f0f0	00000000f0f0f0f0	000000000f000f00
or_inverted	00000000ff00ff00	00000000f0f0f0f0	00000000f0f0f0f0	ffffffffff0fff0f
xnor_basic	00000000aaaaaaaa	0000000055555555	0000000055555555	ffffffff00000000
sll_64	0000000000000001	0000000000000003	0000000000000003	0000000000000008
srl_64	8000000000000000	0000000000000001	0000000000000001	4000000000000000
sra_64	8000000000000000	0000000000000001	0000000000000001	c000000000000000
sll_imm_64	0000000000000001	000000000000000a	000000000000000a	0000000000000400
srl_imm_64	0000000000001000	0000000000000004	0000000000000004	0000000000000100
sra_imm_64	ffffffffffffff00	0000000000000004	0000000000000004	fffffffffffffff0
sll_32	0000000000000001	0000000000000003	0000000000000003	0000000000000008
srl_32	0000000080000000	0000000000000001	0000000000000001	0000000040000000
sra_32	0000000080000000	0000000000000001	0000000000000001	ffffffffc0000000
sll_imm_32	0000000000000001	0000000000000004	0000000000000004	0000000000000010
srl_imm_32	0000000080000000	0000000000000001	0000000000000001	0000000040000000
sra_imm_32	0000000080000000	0000000000000004	0000000000000004	fffffffff8000000
slt_u_lt	0000000000000001	0000000000000002	0000000000000002	0000000000000001
slt_u_eq	0000000000000002	0000000000000002	0000000000000002	0000000000000000
slt_u_gt	0000000000000003	0000000000000002	0000000000000002	0000000000000000
slt_s_neg	ffffffffffffffff	0000000000000000	0000000000000000	0000000000000001
slt_s_pos	0000000000000001	0000000000000000	0000000000000000	0000000000000000
slt_u_imm_lt	0000000000000005	000000000000000a	000000000000000a	0000000000000001
slt_s_imm_neg	ffffffffffffffff	0000000000000001	0000000000000001	0000000000000001
sgt_u_imm	000000000000000a	0000000000000005	0000000000000005	0000000000000001
sgt_s_imm	0000000000000001	ffffffffffffffff	ffffffffffffffff	0000000000000001
max_s_pos	0000000000000005	0000000000000003	0000000000000003	0000000000000005
max_s_neg	ffffffffffffffff	0000000000000001	0000000000000001	0000000000000001
max_u_basic	ffffffffffffffff	0000000000000001	0000000000000001	ffffffffffffffff
min_s_neg	ffffffffffffffff	0000000000000001	0000000000000001	ffffffffffffffff
min_u_basic	0000000000000000	ffffffffffffffff	ffffffffffffffff	0000000000000000
rol_64_basic	0000000000000001	0000000000000001	0000000000000001	0000000000000002
ror_64_basic	0000000000000001	0000000000000001	0000000000000001	8000000000000000
ror_imm_64	0102030405060708	0000000000000008	0000000000000008	0801020304050607
rol_32_basic	0000000000000001	0000000000000001	0000000000000001	0000000000000002
ror_32_basic	0000000000000001	0000000000000001	0000000000000001	ffffffff80000000
ror_imm_32	0000000001020304	0000000000000008	0000000000000008	0000000004010203
move_reg_basic	deadbeefcafebabe	0000000000000000	0000000000000000	deadbeefcafebabe
zero_ext_16_ones	ffffffffffffffff	0000000000000000	0000000000000000	000000000000ffff
zero_ext_16_small	0000000000001234	0000000000000000	0000000000000000	0000000000001234
rev_byte_64_basic	0102030405060708	0000000000000000	0000000000000000	0807060504030201
rev_byte_32_basic	0000000001020304	0000000000000000	0000000000000000	0403020100000000
rev_byte_32_signext	0000000080010203	0000000000000000	0000000000000000	0302018000000000
sext_8_positive	000000000000007f	0000000000000000	0000000000000000	000000000000007f
sext_8_negative	0000000000000080	0000000000000000	0000000000000000	ffffffffffffff80
